,imdbId,Imdb Link,Title,IMDB Score,Genre,Poster,Year
47,454841,http://www.imdb.com/title/tt454841,The Hills Have Eyes,6.4,Horror,"https://images-na.ssl-images-amazon.com/images/M/MV5BMzk0MTg5MzEyOF5BMl5BanBnXkFtZTcwNDUyMzIzMQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",2006
48,393735,http://www.imdb.com/title/tt393735,The Shaggy Dog,4.4,Comedy,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTY0NzM0OTE1N15BMl5BanBnXkFtZTcwMjQ0NjIzMQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",2006
49,405094,http://www.imdb.com/title/tt405094,The Lives of Others,8.5,Drama,"https://images-na.ssl-images-amazon.com/images/M/MV5BNDUzNjYwNDYyNl5BMl5BanBnXkFtZTcwNjU3ODQ0MQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",2006
50,446046,http://www.imdb.com/title/tt446046,Take the Lead,6.7,Drama,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjAwODMxMjk2OF5BMl5BanBnXkFtZTYwNDEwMTY2._V1_UX182_CR0,0,182,268_AL_.jpg",2006
51,429727,http://www.imdb.com/title/tt429727,Il caimano,6.7,Comedy,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjgyODIxMTMxMV5BMl5BanBnXkFtZTcwMzM3MzYwNA@@._V1_UY268_CR5,0,182,268_AL_.jpg",2006
52,425210,http://www.imdb.com/title/tt425210,Lucky Number Slevin,7.8,Crime,"https://images-na.ssl-images-amazon.com/images/M/MV5BZjczMWI1YWMtYTZjOS00ZDc5LWE2MWItMTY3ZGUxNzFkNjJmL2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX182_CR0,0,182,268_AL_.jpg",2006
53,441909,http://www.imdb.com/title/tt441909,Volver,7.6,Comedy,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjA0NTUxMjY1OV5BMl5BanBnXkFtZTcwNjI2OTMzMQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",2006
54,437800,http://www.imdb.com/title/tt437800,Akeelah and the Bee,7.5,Drama,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTUzMDIwNjIzM15BMl5BanBnXkFtZTcwNTczODQzMQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",2006
55,462395,http://www.imdb.com/title/tt462395,Larry the Cable Guy: Health Inspector,3.1,Comedy,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTIxMTI3MDgyM15BMl5BanBnXkFtZTcwMDU0MzIzMQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",2006
56,441796,http://www.imdb.com/title/tt441796,Stay Alive,5.1,Horror,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTI1MDI5NDM5M15BMl5BanBnXkFtZTYwMjU1NDY3._V1_UX182_CR0,0,182,268_AL_.jpg",2006
57,430912,http://www.imdb.com/title/tt430912,Basic Instinct 2,4.2,Drama,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTkzNzM3ODY3Nl5BMl5BanBnXkFtZTcwNzMyNDcyNA@@._V1_UX182_CR0,0,182,268_AL_.jpg",2006
58,493459,http://www.imdb.com/title/tt493459,This Film Is Not Yet Rated,7.5,Documentary,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTk0NDIwMDUxNl5BMl5BanBnXkFtZTcwMzY3MzIzMQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",2006
59,439815,http://www.imdb.com/title/tt439815,Slither,6.5,Comedy,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjEyNTE0NDI2OF5BMl5BanBnXkFtZTcwODcwODMzMQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",2006
60,437863,http://www.imdb.com/title/tt437863,The Benchwarmers,5.6,Comedy,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTcxMzg3NDQwNl5BMl5BanBnXkFtZTcwMjk1ODQzMQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",2006
61,490196,http://www.imdb.com/title/tt490196,Phat Girlz,3.0,Comedy,"https://images-na.ssl-images-amazon.com/images/M/MV5BNDIyNzU2NTkwM15BMl5BanBnXkFtZTcwNDYyMDMzMQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",2006
62,386741,http://www.imdb.com/title/tt386741,Renaissance,6.7,Animation,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjEyMzA4ODQ3MV5BMl5BanBnXkFtZTcwMTkwNDUzMQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",2006
